# IdentifierType.txt
# Date: 2025-08-04, 21:58:43 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: set of Identifier_Type values
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Type is defined as
# mapping each code point to a set of enumerated values.
# The short name of Identifier_Type is ID_Type.
# The possible values are:
#   Not_Character, Deprecated, Default_Ignorable, Not_NFKC, Not_XID,
#   Exclusion, Obsolete, Technical, Uncommon_Use, Limited_Use, Inclusion, Recommended
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Type
# have the value Not_Character.

# @missing: 0000..10FFFF; Not_Character

# As usual, sets are unordered, with no duplicate values.


#	Identifier_Type:	Recommended

0901..0903    ; Recommended                    # 1.1    [3] DEVANAGARI SIGN CANDRABINDU..DEVANAGARI SIGN VISARGA
0905..090B    ; Recommended                    # 1.1    [7] DEVANAGARI LETTER A..DEVANAGARI LETTER VOCALIC R
090D..0928    ; Recommended                    # 1.1   [28] DEVANAGARI LETTER CANDRA E..DEVANAGARI LETTER NA
092A..0933    ; Recommended                    # 1.1   [10] DEVANAGARI LETTER PA..DEVANAGARI LETTER LLA
0935..0939    ; Recommended                    # 1.1    [5] DEVANAGARI LETTER VA..DEVANAGARI LETTER HA
093A..093B    ; Recommended                    # 6.0    [2] DEVANAGARI VOWEL SIGN OE..DEVANAGARI VOWEL SIGN OOE
093C          ; Recommended                    # 1.1        DEVANAGARI SIGN NUKTA
093E..0943    ; Recommended                    # 1.1    [6] DEVANAGARI VOWEL SIGN AA..DEVANAGARI VOWEL SIGN VOCALIC R
0945..094D    ; Recommended                    # 1.1    [9] DEVANAGARI VOWEL SIGN CANDRA E..DEVANAGARI SIGN VIRAMA
094F          ; Recommended                    # 6.0        DEVANAGARI VOWEL SIGN AW
0956..0957    ; Recommended                    # 6.0    [2] DEVANAGARI VOWEL SIGN UE..DEVANAGARI VOWEL SIGN UUE
0966..096F    ; Recommended                    # 1.1   [10] DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0972          ; Recommended                    # 5.1        DEVANAGARI LETTER CANDRA A
0973..0977    ; Recommended                    # 6.0    [5] DEVANAGARI LETTER OE..DEVANAGARI LETTER UUE
097B..097C    ; Recommended                    # 5.0    [2] DEVANAGARI LETTER GGA..DEVANAGARI LETTER JJA
097E..097F    ; Recommended                    # 5.0    [2] DEVANAGARI LETTER DDDA..DEVANAGARI LETTER BBA
0981..0983    ; Recommended                    # 1.1    [3] BENGALI SIGN CANDRABINDU..BENGALI SIGN VISARGA
0985..098B    ; Recommended                    # 1.1    [7] BENGALI LETTER A..BENGALI LETTER VOCALIC R
098F..0990    ; Recommended                    # 1.1    [2] BENGALI LETTER E..BENGALI LETTER AI
0993..09A8    ; Recommended                    # 1.1   [22] BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0    ; Recommended                    # 1.1    [7] BENGALI LETTER PA..BENGALI LETTER RA
09B2          ; Recommended                    # 1.1        BENGALI LETTER LA
09B6..09B9    ; Recommended                    # 1.1    [4] BENGALI LETTER SHA..BENGALI LETTER HA
09BC          ; Recommended                    # 1.1        BENGALI SIGN NUKTA
09BE..09C4    ; Recommended                    # 1.1    [7] BENGALI VOWEL SIGN AA..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8    ; Recommended                    # 1.1    [2] BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CD    ; Recommended                    # 1.1    [3] BENGALI VOWEL SIGN O..BENGALI SIGN VIRAMA
09CE          ; Recommended                    # 4.1        BENGALI LETTER KHANDA TA
09E6..09F1    ; Recommended                    # 1.1   [12] BENGALI DIGIT ZERO..BENGALI LETTER RA WITH LOWER DIAGONAL
0A02          ; Recommended                    # 1.1        GURMUKHI SIGN BINDI
0A05..0A0A    ; Recommended                    # 1.1    [6] GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10    ; Recommended                    # 1.1    [2] GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28    ; Recommended                    # 1.1   [22] GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30    ; Recommended                    # 1.1    [7] GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32          ; Recommended                    # 1.1        GURMUKHI LETTER LA
0A35          ; Recommended                    # 1.1        GURMUKHI LETTER VA
0A38..0A39    ; Recommended                    # 1.1    [2] GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3C          ; Recommended                    # 1.1        GURMUKHI SIGN NUKTA
0A3E..0A42    ; Recommended                    # 1.1    [5] GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN UU
0A47..0A48    ; Recommended                    # 1.1    [2] GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4D    ; Recommended                    # 1.1    [3] GURMUKHI VOWEL SIGN OO..GURMUKHI SIGN VIRAMA
0A5C          ; Recommended                    # 1.1        GURMUKHI LETTER RRA
0A70..0A71    ; Recommended                    # 1.1    [2] GURMUKHI TIPPI..GURMUKHI ADDAK
0A82..0A83    ; Recommended                    # 1.1    [2] GUJARATI SIGN ANUSVARA..GUJARATI SIGN VISARGA
0A85..0A8B    ; Recommended                    # 1.1    [7] GUJARATI LETTER A..GUJARATI LETTER VOCALIC R
0A8C          ; Recommended                    # 4.0        GUJARATI LETTER VOCALIC L
0A8D          ; Recommended                    # 1.1        GUJARATI VOWEL CANDRA E
0A8F..0A91    ; Recommended                    # 1.1    [3] GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8    ; Recommended                    # 1.1   [22] GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0    ; Recommended                    # 1.1    [7] GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3    ; Recommended                    # 1.1    [2] GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9    ; Recommended                    # 1.1    [5] GUJARATI LETTER VA..GUJARATI LETTER HA
0ABC          ; Recommended                    # 1.1        GUJARATI SIGN NUKTA
0ABE..0AC5    ; Recommended                    # 1.1    [8] GUJARATI VOWEL SIGN AA..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9    ; Recommended                    # 1.1    [3] GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD    ; Recommended                    # 1.1    [3] GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0AE6..0AEF    ; Recommended                    # 1.1   [10] GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0B01..0B03    ; Recommended                    # 1.1    [3] ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B05..0B0B    ; Recommended                    # 1.1    [7] ORIYA LETTER A..ORIYA LETTER VOCALIC R
0B0F..0B10    ; Recommended                    # 1.1    [2] ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28    ; Recommended                    # 1.1   [22] ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30    ; Recommended                    # 1.1    [7] ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33    ; Recommended                    # 1.1    [2] ORIYA LETTER LA..ORIYA LETTER LLA
0B36..0B39    ; Recommended                    # 1.1    [4] ORIYA LETTER SHA..ORIYA LETTER HA
0B3C          ; Recommended                    # 1.1        ORIYA SIGN NUKTA
0B3E..0B43    ; Recommended                    # 1.1    [6] ORIYA VOWEL SIGN AA..ORIYA VOWEL SIGN VOCALIC R
0B47..0B48    ; Recommended                    # 1.1    [2] ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4D    ; Recommended                    # 1.1    [3] ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B56          ; Recommended                    # 1.1        ORIYA AI LENGTH MARK
0B5F          ; Recommended                    # 1.1        ORIYA LETTER YYA
0B71          ; Recommended                    # 4.0        ORIYA LETTER WA
0B83          ; Recommended                    # 1.1        TAMIL SIGN VISARGA
0B85..0B8A    ; Recommended                    # 1.1    [6] TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90    ; Recommended                    # 1.1    [3] TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95    ; Recommended                    # 1.1    [4] TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A    ; Recommended                    # 1.1    [2] TAMIL LETTER NGA..TAMIL LETTER CA
0B9C          ; Recommended                    # 1.1        TAMIL LETTER JA
0B9E..0B9F    ; Recommended                    # 1.1    [2] TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4    ; Recommended                    # 1.1    [2] TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA    ; Recommended                    # 1.1    [3] TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB5    ; Recommended                    # 1.1    [8] TAMIL LETTER MA..TAMIL LETTER VA
0BB6          ; Recommended                    # 4.1        TAMIL LETTER SHA
0BB7..0BB9    ; Recommended                    # 1.1    [3] TAMIL LETTER SSA..TAMIL LETTER HA
0BBE..0BC2    ; Recommended                    # 1.1    [5] TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC6..0BC8    ; Recommended                    # 1.1    [3] TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCD    ; Recommended                    # 1.1    [4] TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0C02..0C03    ; Recommended                    # 1.1    [2] TELUGU SIGN ANUSVARA..TELUGU SIGN VISARGA
0C05..0C0B    ; Recommended                    # 1.1    [7] TELUGU LETTER A..TELUGU LETTER VOCALIC R
0C0E..0C10    ; Recommended                    # 1.1    [3] TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28    ; Recommended                    # 1.1   [23] TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C30    ; Recommended                    # 1.1    [7] TELUGU LETTER PA..TELUGU LETTER RA
0C32..0C33    ; Recommended                    # 1.1    [2] TELUGU LETTER LA..TELUGU LETTER LLA
0C35..0C39    ; Recommended                    # 1.1    [5] TELUGU LETTER VA..TELUGU LETTER HA
0C3E..0C44    ; Recommended                    # 1.1    [7] TELUGU VOWEL SIGN AA..TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48    ; Recommended                    # 1.1    [3] TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C4A..0C4D    ; Recommended                    # 1.1    [4] TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C82..0C83    ; Recommended                    # 1.1    [2] KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C8B    ; Recommended                    # 1.1    [7] KANNADA LETTER A..KANNADA LETTER VOCALIC R
0C8E..0C90    ; Recommended                    # 1.1    [3] KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8    ; Recommended                    # 1.1   [23] KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB0    ; Recommended                    # 1.1    [7] KANNADA LETTER PA..KANNADA LETTER RA
0CB2..0CB3    ; Recommended                    # 1.1    [2] KANNADA LETTER LA..KANNADA LETTER LLA
0CB5..0CB9    ; Recommended                    # 1.1    [5] KANNADA LETTER VA..KANNADA LETTER HA
0CBE..0CC3    ; Recommended                    # 1.1    [6] KANNADA VOWEL SIGN AA..KANNADA VOWEL SIGN VOCALIC R
0CC6..0CC8    ; Recommended                    # 1.1    [3] KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CCA..0CCD    ; Recommended                    # 1.1    [4] KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CE6..0CEF    ; Recommended                    # 1.1   [10] KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0D02..0D03    ; Recommended                    # 1.1    [2] MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D05..0D0B    ; Recommended                    # 1.1    [7] MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC R
0D0E..0D10    ; Recommended                    # 1.1    [3] MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D28    ; Recommended                    # 1.1   [23] MALAYALAM LETTER O..MALAYALAM LETTER NA
0D2A..0D39    ; Recommended                    # 1.1   [16] MALAYALAM LETTER PA..MALAYALAM LETTER HA
0D3E..0D43    ; Recommended                    # 1.1    [6] MALAYALAM VOWEL SIGN AA..MALAYALAM VOWEL SIGN VOCALIC R
0D46..0D48    ; Recommended                    # 1.1    [3] MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4B    ; Recommended                    # 1.1    [2] MALAYALAM VOWEL SIGN O..MALAYALAM VOWEL SIGN OO
0D4D          ; Recommended                    # 1.1        MALAYALAM SIGN VIRAMA
0D57          ; Recommended                    # 1.1        MALAYALAM AU LENGTH MARK
0D7A..0D7F    ; Recommended                    # 5.1    [6] MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D82..0D83    ; Recommended                    # 3.0    [2] SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D85..0D8D    ; Recommended                    # 3.0    [9] SINHALA LETTER AYANNA..SINHALA LETTER IRUYANNA
0D91..0D96    ; Recommended                    # 3.0    [6] SINHALA LETTER EYANNA..SINHALA LETTER AUYANNA
0D9A..0D9D    ; Recommended                    # 3.0    [4] SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER MAHAAPRAANA GAYANNA
0D9F..0DB1    ; Recommended                    # 3.0   [19] SINHALA LETTER SANYAKA GAYANNA..SINHALA LETTER DANTAJA NAYANNA
